title,city,date,stage,lowest_price,median_price,avg_price,listings,price_premium,tier
England vs Croatia,Dallas,2026-06-17,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
England vs Ghana,Boston,2026-06-23,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Mexico vs South Africa,Mexico City,2026-06-11,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Panama vs Croatia,Toronto,2026-06-23,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Norway vs Senegal,New York/New Jersey,2026-06-23,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Norway vs France,Boston,2026-06-26,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
New Zealand vs Egypt,Vancouver,2026-06-22,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
New Zealand vs Belgium,Vancouver,2026-06-27,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Netherlands vs Japan,Dallas,2026-06-14,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Morocco vs Haiti,Atlanta,2026-06-24,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Mexico vs South Korea,Guadalajara,2026-06-19,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Jordan vs Argentina,Dallas,2026-06-28,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
France vs Senegal,New York/New Jersey,2026-06-16,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Jordan vs Algeria,San Francisco Bay Area,2026-06-23,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Japan vs Winner UEFA Playoff B,Dallas,2026-06-26,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
IR Iran vs New Zealand,Los Angeles,2026-06-16,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Haiti vs Scotland,Boston,2026-06-14,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Ghana vs Panama,Toronto,2026-06-17,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Germany vs Côte d'Ivoire,Toronto,2026-06-20,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Germany vs Curaçao,Houston,2026-06-14,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
France vs Winner FIFA Playoff 2,Philadelphia,2026-06-22,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
Winner UEFA Playoff D vs South Africa,Atlanta,2026-06-18,Group Stage,605,1600.0,1600.0,1760,0.7890537756270583,Standard
