title,venue,city,date,stage,category,lowest_price,avg_price,median_price,listings,source
Brazil vs Morocco,MetLife Stadium,New York/New Jersey,2026-06-13,Group Stage,Category 3,605,605,605,440,FIFA Official
Brazil vs Morocco,MetLife Stadium,New York/New Jersey,2026-06-13,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Brazil vs Morocco,MetLife Stadium,New York/New Jersey,2026-06-13,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Brazil vs Morocco,MetLife Stadium,New York/New Jersey,2026-06-13,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Haiti vs Scotland,Gillette Stadium,Boston,2026-06-14,Group Stage,Category 3,605,605,605,440,FIFA Official
Haiti vs Scotland,Gillette Stadium,Boston,2026-06-14,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Haiti vs Scotland,Gillette Stadium,Boston,2026-06-14,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Haiti vs Scotland,Gillette Stadium,Boston,2026-06-14,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Australia vs Winner UEFA Playoff C,BC Place,Vancouver,2026-06-14,Group Stage,Category 3,605,605,605,440,FIFA Official
Australia vs Winner UEFA Playoff C,BC Place,Vancouver,2026-06-14,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Australia vs Winner UEFA Playoff C,BC Place,Vancouver,2026-06-14,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Australia vs Winner UEFA Playoff C,BC Place,Vancouver,2026-06-14,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Germany vs Curaçao,NRG Stadium,Houston,2026-06-14,Group Stage,Category 3,605,605,605,440,FIFA Official
Germany vs Curaçao,NRG Stadium,Houston,2026-06-14,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Germany vs Curaçao,NRG Stadium,Houston,2026-06-14,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Germany vs Curaçao,NRG Stadium,Houston,2026-06-14,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Netherlands vs Japan,AT&T Stadium,Dallas,2026-06-14,Group Stage,Category 3,605,605,605,440,FIFA Official
Netherlands vs Japan,AT&T Stadium,Dallas,2026-06-14,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Netherlands vs Japan,AT&T Stadium,Dallas,2026-06-14,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Netherlands vs Japan,AT&T Stadium,Dallas,2026-06-14,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Côte d'Ivoire vs Ecuador,Lincoln Financial Field,Philadelphia,2026-06-14,Group Stage,Category 3,605,605,605,440,FIFA Official
Côte d'Ivoire vs Ecuador,Lincoln Financial Field,Philadelphia,2026-06-14,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Côte d'Ivoire vs Ecuador,Lincoln Financial Field,Philadelphia,2026-06-14,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Côte d'Ivoire vs Ecuador,Lincoln Financial Field,Philadelphia,2026-06-14,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner UEFA Playoff B vs Tunisia,Estadio BBVA,Monterrey,2026-06-15,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner UEFA Playoff B vs Tunisia,Estadio BBVA,Monterrey,2026-06-15,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner UEFA Playoff B vs Tunisia,Estadio BBVA,Monterrey,2026-06-15,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner UEFA Playoff B vs Tunisia,Estadio BBVA,Monterrey,2026-06-15,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Spain vs Cabo Verde,Mercedes-Benz Stadium,Atlanta,2026-06-15,Group Stage,Category 3,605,605,605,440,FIFA Official
Spain vs Cabo Verde,Mercedes-Benz Stadium,Atlanta,2026-06-15,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Spain vs Cabo Verde,Mercedes-Benz Stadium,Atlanta,2026-06-15,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Spain vs Cabo Verde,Mercedes-Benz Stadium,Atlanta,2026-06-15,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Belgium vs Egypt,Lumen Field,Seattle,2026-06-15,Group Stage,Category 3,605,605,605,440,FIFA Official
Belgium vs Egypt,Lumen Field,Seattle,2026-06-15,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Belgium vs Egypt,Lumen Field,Seattle,2026-06-15,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Belgium vs Egypt,Lumen Field,Seattle,2026-06-15,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Saudi Arabia vs Uruguay,Hard Rock Stadium,Miami,2026-06-15,Group Stage,Category 3,605,605,605,440,FIFA Official
Saudi Arabia vs Uruguay,Hard Rock Stadium,Miami,2026-06-15,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Saudi Arabia vs Uruguay,Hard Rock Stadium,Miami,2026-06-15,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Saudi Arabia vs Uruguay,Hard Rock Stadium,Miami,2026-06-15,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
IR Iran vs New Zealand,SoFi Stadium,Los Angeles,2026-06-16,Group Stage,Category 3,605,605,605,440,FIFA Official
IR Iran vs New Zealand,SoFi Stadium,Los Angeles,2026-06-16,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
IR Iran vs New Zealand,SoFi Stadium,Los Angeles,2026-06-16,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
IR Iran vs New Zealand,SoFi Stadium,Los Angeles,2026-06-16,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
France vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-16,Group Stage,Category 3,605,605,605,440,FIFA Official
France vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-16,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
France vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-16,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
France vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-16,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner FIFA Playoff 2 vs Norway,Gillette Stadium,Boston,2026-06-16,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner FIFA Playoff 2 vs Norway,Gillette Stadium,Boston,2026-06-16,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner FIFA Playoff 2 vs Norway,Gillette Stadium,Boston,2026-06-16,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner FIFA Playoff 2 vs Norway,Gillette Stadium,Boston,2026-06-16,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Argentina vs Algeria,Arrowhead Stadium,Kansas City,2026-06-17,Group Stage,Category 3,605,605,605,440,FIFA Official
Argentina vs Algeria,Arrowhead Stadium,Kansas City,2026-06-17,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Argentina vs Algeria,Arrowhead Stadium,Kansas City,2026-06-17,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Argentina vs Algeria,Arrowhead Stadium,Kansas City,2026-06-17,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Austria vs Jordan,Levi's Stadium,San Francisco Bay Area,2026-06-17,Group Stage,Category 3,605,605,605,440,FIFA Official
Austria vs Jordan,Levi's Stadium,San Francisco Bay Area,2026-06-17,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Austria vs Jordan,Levi's Stadium,San Francisco Bay Area,2026-06-17,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Austria vs Jordan,Levi's Stadium,San Francisco Bay Area,2026-06-17,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Portugal vs Winner FIFA Playoff 1,NRG Stadium,Houston,2026-06-17,Group Stage,Category 3,605,605,605,440,FIFA Official
Portugal vs Winner FIFA Playoff 1,NRG Stadium,Houston,2026-06-17,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Portugal vs Winner FIFA Playoff 1,NRG Stadium,Houston,2026-06-17,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Portugal vs Winner FIFA Playoff 1,NRG Stadium,Houston,2026-06-17,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
England vs Croatia,AT&T Stadium,Dallas,2026-06-17,Group Stage,Category 3,605,605,605,440,FIFA Official
England vs Croatia,AT&T Stadium,Dallas,2026-06-17,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
England vs Croatia,AT&T Stadium,Dallas,2026-06-17,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
England vs Croatia,AT&T Stadium,Dallas,2026-06-17,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Ghana vs Panama,BMO Field,Toronto,2026-06-17,Group Stage,Category 3,605,605,605,440,FIFA Official
Ghana vs Panama,BMO Field,Toronto,2026-06-17,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Ghana vs Panama,BMO Field,Toronto,2026-06-17,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Ghana vs Panama,BMO Field,Toronto,2026-06-17,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Uzbekistan vs Colombia,Estadio Azteca,Mexico City,2026-06-18,Group Stage,Category 3,605,605,605,440,FIFA Official
Uzbekistan vs Colombia,Estadio Azteca,Mexico City,2026-06-18,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Uzbekistan vs Colombia,Estadio Azteca,Mexico City,2026-06-18,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Uzbekistan vs Colombia,Estadio Azteca,Mexico City,2026-06-18,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner UEFA Playoff D vs South Africa,Mercedes-Benz Stadium,Atlanta,2026-06-18,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner UEFA Playoff D vs South Africa,Mercedes-Benz Stadium,Atlanta,2026-06-18,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner UEFA Playoff D vs South Africa,Mercedes-Benz Stadium,Atlanta,2026-06-18,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner UEFA Playoff D vs South Africa,Mercedes-Benz Stadium,Atlanta,2026-06-18,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Switzerland vs Winner UEFA Playoff A,SoFi Stadium,Los Angeles,2026-06-18,Group Stage,Category 3,605,605,605,440,FIFA Official
Switzerland vs Winner UEFA Playoff A,SoFi Stadium,Los Angeles,2026-06-18,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Switzerland vs Winner UEFA Playoff A,SoFi Stadium,Los Angeles,2026-06-18,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Switzerland vs Winner UEFA Playoff A,SoFi Stadium,Los Angeles,2026-06-18,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Canada vs Qatar,BC Place,Vancouver,2026-06-19,Group Stage,Category 3,605,605,605,440,FIFA Official
Canada vs Qatar,BC Place,Vancouver,2026-06-19,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Canada vs Qatar,BC Place,Vancouver,2026-06-19,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Canada vs Qatar,BC Place,Vancouver,2026-06-19,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Mexico vs South Korea,Estadio Akron,Guadalajara,2026-06-19,Group Stage,Category 3,605,605,605,440,FIFA Official
Mexico vs South Korea,Estadio Akron,Guadalajara,2026-06-19,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Mexico vs South Korea,Estadio Akron,Guadalajara,2026-06-19,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Mexico vs South Korea,Estadio Akron,Guadalajara,2026-06-19,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
USA vs Australia,Lumen Field,Seattle,2026-06-19,Group Stage,Category 3,605,605,605,440,FIFA Official
USA vs Australia,Lumen Field,Seattle,2026-06-19,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
USA vs Australia,Lumen Field,Seattle,2026-06-19,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
USA vs Australia,Lumen Field,Seattle,2026-06-19,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Scotland vs Morocco,Gillette Stadium,Boston,2026-06-19,Group Stage,Category 3,605,605,605,440,FIFA Official
Scotland vs Morocco,Gillette Stadium,Boston,2026-06-19,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Scotland vs Morocco,Gillette Stadium,Boston,2026-06-19,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Scotland vs Morocco,Gillette Stadium,Boston,2026-06-19,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Brazil vs Haiti,Lincoln Financial Field,Philadelphia,2026-06-20,Group Stage,Category 3,605,605,605,440,FIFA Official
Brazil vs Haiti,Lincoln Financial Field,Philadelphia,2026-06-20,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Brazil vs Haiti,Lincoln Financial Field,Philadelphia,2026-06-20,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Brazil vs Haiti,Lincoln Financial Field,Philadelphia,2026-06-20,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner UEFA Playoff C vs Paraguay,Levi's Stadium,San Francisco Bay Area,2026-06-20,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner UEFA Playoff C vs Paraguay,Levi's Stadium,San Francisco Bay Area,2026-06-20,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner UEFA Playoff C vs Paraguay,Levi's Stadium,San Francisco Bay Area,2026-06-20,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner UEFA Playoff C vs Paraguay,Levi's Stadium,San Francisco Bay Area,2026-06-20,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Netherlands vs Winner UEFA Playoff B,NRG Stadium,Houston,2026-06-20,Group Stage,Category 3,605,605,605,440,FIFA Official
Netherlands vs Winner UEFA Playoff B,NRG Stadium,Houston,2026-06-20,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Netherlands vs Winner UEFA Playoff B,NRG Stadium,Houston,2026-06-20,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Netherlands vs Winner UEFA Playoff B,NRG Stadium,Houston,2026-06-20,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Germany vs Côte d'Ivoire,BMO Field,Toronto,2026-06-20,Group Stage,Category 3,605,605,605,440,FIFA Official
Germany vs Côte d'Ivoire,BMO Field,Toronto,2026-06-20,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Germany vs Côte d'Ivoire,BMO Field,Toronto,2026-06-20,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Germany vs Côte d'Ivoire,BMO Field,Toronto,2026-06-20,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Ecuador vs Curaçao,Arrowhead Stadium,Kansas City,2026-06-21,Group Stage,Category 3,605,605,605,440,FIFA Official
Ecuador vs Curaçao,Arrowhead Stadium,Kansas City,2026-06-21,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Ecuador vs Curaçao,Arrowhead Stadium,Kansas City,2026-06-21,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Ecuador vs Curaçao,Arrowhead Stadium,Kansas City,2026-06-21,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Tunisia vs Japan,Estadio BBVA,Monterrey,2026-06-21,Group Stage,Category 3,605,605,605,440,FIFA Official
Tunisia vs Japan,Estadio BBVA,Monterrey,2026-06-21,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Tunisia vs Japan,Estadio BBVA,Monterrey,2026-06-21,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Tunisia vs Japan,Estadio BBVA,Monterrey,2026-06-21,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Spain vs Saudi Arabia,Mercedes-Benz Stadium,Atlanta,2026-06-21,Group Stage,Category 3,605,605,605,440,FIFA Official
Spain vs Saudi Arabia,Mercedes-Benz Stadium,Atlanta,2026-06-21,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Spain vs Saudi Arabia,Mercedes-Benz Stadium,Atlanta,2026-06-21,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Spain vs Saudi Arabia,Mercedes-Benz Stadium,Atlanta,2026-06-21,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Belgium vs IR Iran,SoFi Stadium,Los Angeles,2026-06-21,Group Stage,Category 3,605,605,605,440,FIFA Official
Belgium vs IR Iran,SoFi Stadium,Los Angeles,2026-06-21,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Belgium vs IR Iran,SoFi Stadium,Los Angeles,2026-06-21,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Belgium vs IR Iran,SoFi Stadium,Los Angeles,2026-06-21,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Uruguay vs Cabo Verde,Hard Rock Stadium,Miami,2026-06-21,Group Stage,Category 3,605,605,605,440,FIFA Official
Uruguay vs Cabo Verde,Hard Rock Stadium,Miami,2026-06-21,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Uruguay vs Cabo Verde,Hard Rock Stadium,Miami,2026-06-21,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Uruguay vs Cabo Verde,Hard Rock Stadium,Miami,2026-06-21,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
New Zealand vs Egypt,BC Place,Vancouver,2026-06-22,Group Stage,Category 3,605,605,605,440,FIFA Official
New Zealand vs Egypt,BC Place,Vancouver,2026-06-22,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
New Zealand vs Egypt,BC Place,Vancouver,2026-06-22,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
New Zealand vs Egypt,BC Place,Vancouver,2026-06-22,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Argentina vs Austria,AT&T Stadium,Dallas,2026-06-22,Group Stage,Category 3,605,605,605,440,FIFA Official
Argentina vs Austria,AT&T Stadium,Dallas,2026-06-22,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Argentina vs Austria,AT&T Stadium,Dallas,2026-06-22,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Argentina vs Austria,AT&T Stadium,Dallas,2026-06-22,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
France vs Winner FIFA Playoff 2,Lincoln Financial Field,Philadelphia,2026-06-22,Group Stage,Category 3,605,605,605,440,FIFA Official
France vs Winner FIFA Playoff 2,Lincoln Financial Field,Philadelphia,2026-06-22,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
France vs Winner FIFA Playoff 2,Lincoln Financial Field,Philadelphia,2026-06-22,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
France vs Winner FIFA Playoff 2,Lincoln Financial Field,Philadelphia,2026-06-22,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Norway vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-23,Group Stage,Category 3,605,605,605,440,FIFA Official
Norway vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-23,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Norway vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-23,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Norway vs Senegal,MetLife Stadium,New York/New Jersey,2026-06-23,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Jordan vs Algeria,Levi's Stadium,San Francisco Bay Area,2026-06-23,Group Stage,Category 3,605,605,605,440,FIFA Official
Jordan vs Algeria,Levi's Stadium,San Francisco Bay Area,2026-06-23,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Jordan vs Algeria,Levi's Stadium,San Francisco Bay Area,2026-06-23,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Jordan vs Algeria,Levi's Stadium,San Francisco Bay Area,2026-06-23,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Portugal vs Uzbekistan,NRG Stadium,Houston,2026-06-23,Group Stage,Category 3,605,605,605,440,FIFA Official
Portugal vs Uzbekistan,NRG Stadium,Houston,2026-06-23,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Portugal vs Uzbekistan,NRG Stadium,Houston,2026-06-23,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Portugal vs Uzbekistan,NRG Stadium,Houston,2026-06-23,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
England vs Ghana,Gillette Stadium,Boston,2026-06-23,Group Stage,Category 3,605,605,605,440,FIFA Official
England vs Ghana,Gillette Stadium,Boston,2026-06-23,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
England vs Ghana,Gillette Stadium,Boston,2026-06-23,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
England vs Ghana,Gillette Stadium,Boston,2026-06-23,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Panama vs Croatia,BMO Field,Toronto,2026-06-23,Group Stage,Category 3,605,605,605,440,FIFA Official
Panama vs Croatia,BMO Field,Toronto,2026-06-23,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Panama vs Croatia,BMO Field,Toronto,2026-06-23,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Panama vs Croatia,BMO Field,Toronto,2026-06-23,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Colombia vs Winner FIFA Playoff 1,Estadio Akron,Guadalajara,2026-06-24,Group Stage,Category 3,605,605,605,440,FIFA Official
Colombia vs Winner FIFA Playoff 1,Estadio Akron,Guadalajara,2026-06-24,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Colombia vs Winner FIFA Playoff 1,Estadio Akron,Guadalajara,2026-06-24,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Colombia vs Winner FIFA Playoff 1,Estadio Akron,Guadalajara,2026-06-24,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Switzerland vs Canada,BC Place,Vancouver,2026-06-24,Group Stage,Category 3,605,605,605,440,FIFA Official
Switzerland vs Canada,BC Place,Vancouver,2026-06-24,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Switzerland vs Canada,BC Place,Vancouver,2026-06-24,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Switzerland vs Canada,BC Place,Vancouver,2026-06-24,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner UEFA Playoff A vs Qatar,Lumen Field,Seattle,2026-06-24,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner UEFA Playoff A vs Qatar,Lumen Field,Seattle,2026-06-24,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner UEFA Playoff A vs Qatar,Lumen Field,Seattle,2026-06-24,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner UEFA Playoff A vs Qatar,Lumen Field,Seattle,2026-06-24,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Scotland vs Brazil,Hard Rock Stadium,Miami,2026-06-24,Group Stage,Category 3,605,605,605,440,FIFA Official
Scotland vs Brazil,Hard Rock Stadium,Miami,2026-06-24,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Scotland vs Brazil,Hard Rock Stadium,Miami,2026-06-24,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Scotland vs Brazil,Hard Rock Stadium,Miami,2026-06-24,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Morocco vs Haiti,Mercedes-Benz Stadium,Atlanta,2026-06-24,Group Stage,Category 3,605,605,605,440,FIFA Official
Morocco vs Haiti,Mercedes-Benz Stadium,Atlanta,2026-06-24,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Morocco vs Haiti,Mercedes-Benz Stadium,Atlanta,2026-06-24,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Morocco vs Haiti,Mercedes-Benz Stadium,Atlanta,2026-06-24,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner UEFA Playoff D vs Mexico,Estadio Azteca,Mexico City,2026-06-25,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner UEFA Playoff D vs Mexico,Estadio Azteca,Mexico City,2026-06-25,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner UEFA Playoff D vs Mexico,Estadio Azteca,Mexico City,2026-06-25,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner UEFA Playoff D vs Mexico,Estadio Azteca,Mexico City,2026-06-25,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
South Africa vs South Korea,Estadio BBVA,Monterrey,2026-06-25,Group Stage,Category 3,605,605,605,440,FIFA Official
South Africa vs South Korea,Estadio BBVA,Monterrey,2026-06-25,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
South Africa vs South Korea,Estadio BBVA,Monterrey,2026-06-25,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
South Africa vs South Korea,Estadio BBVA,Monterrey,2026-06-25,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Curaçao vs Côte d'Ivoire,Lincoln Financial Field,Philadelphia,2026-06-25,Group Stage,Category 3,605,605,605,440,FIFA Official
Curaçao vs Côte d'Ivoire,Lincoln Financial Field,Philadelphia,2026-06-25,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
